Seat,Polls Close (PST),Incumbent,Primary,2017 PVI,Democratic Candidate,Republican Candidate,Tyler's Prediction,David's Prediction,Result
California 18,8:00 PM,Eshoo,,D+23,Eshoo,Russell,d,d,
California 19,8:00 PM,Lofgren,,D+24,Lofgren,N/A,d,d,
California 20,8:00 PM,Panetta,,D+23,Panetta,Kabat (I),d,d,
California 21,8:00 PM,Valadao,,D+5,Cox,Valadao,r,d,
California 22,8:00 PM,Nunes,,R+8,Janz,Nunez,r,d,
California 23,8:00 PM,McCarthy,,R+14,Matta,McCarthy,r,r,
California 24,8:00 PM,Carbajal,,D+7,Carbajal,Fareed,d,d,
California 25,8:00 PM,Knight,,EVEN,Hill,Knight,d,d,
California 26,8:00 PM,Brownley,,D+7,Brownley,Sabato,d,d,
California 27,8:00 PM,Chu,,D+16,Chu,Witt (D),d,d,
California 28,8:00 PM,Schiff,,D+23,Schiff,Nalbandian,d,d,
California 29,8:00 PM,Cárdenas,,D+29,Cárdenas,Bernal,d,d,
California 30,8:00 PM,Sherman,,D+18,Sherman,Reed,d,d,
California 31,8:00 PM,Aguilar,,D+8,Aguilar,Flynn,d,d,
California 32,8:00 PM,Napolitano,,D+17,Napolitano,N/A,d,d,
California 33,8:00 PM,Lieu,,D+16,Lieu,Wright,d,d,
California 34,8:00 PM,Gomez,,D+35,Gomez,Mejia (G),d,d,
California 35,8:00 PM,Torres,,D+19,Torres,Valiente,d,d,
California 36,8:00 PM,Ruiz,,D+2,Ruiz,Pelzer,d,d,
California 37,8:00 PM,Bass,,D+37,Bass,Bassilian,d,d,
California 38,8:00 PM,Sánchez,,D+17,Sánchez,Downing,d,d,
California 39,8:00 PM,Royce (Open),,EVEN,Cisneros,Kim,d,r,
California 40,8:00 PM,Roybal-Allard,,D+33,Roybal-Allard,Barragan (G),d,d,
California 41,8:00 PM,Takano,,D+12,Takano,Smith,d,d,
California 42,8:00 PM,Calvert,,R+9,Peacock,Calvert,r,r,
California 43,8:00 PM,Waters,,D+29,Waters,Navarro,d,d,
California 44,8:00 PM,Barragán,,D+35,Barragán,Brown (D),d,d,
California 45,8:00 PM,Walters,,R+3,Porter,Walters,r,d,
California 46,8:00 PM,Correa,,D+15,Correa,Lambert,d,d,
California 47,8:00 PM,Lowenthal,,D+13,Lowenthal,Briscoe,d,d,
California 48,8:00 PM,Rohrabacher,,R+4,Rouda,Rohrabacher,d,r,
California 49,8:00 PM,Issa (Open),,R+1,Levin,Harkey,d,d,
California 50,8:00 PM,Hunter,,R+11,Campa-Najjar,Hunter,r,r,
California 51,8:00 PM,Vargas,,D+22,Vargas,,d,d,
California 52,8:00 PM,Peters,,D+6,Peters,Qudrat,d,d,
California 53,8:00 PM,Davis,,D+14,Davis,Murtaugh,d,d,
Colorado 1,6:00 PM,DeGette,,D+21,DeGette,Stockham,d,d,
Colorado 2,6:00 PM,Polis (Open),,D+9,Neguse,Yu,d,d,
Colorado 3,6:00 PM,Tipton,,R+6,Bush,Tipton,r,r,
Colorado 4,6:00 PM,Buck,,R+13,McCormick,Buck,r,r,
Colorado 5,6:00 PM,Lamborn,,R+14,Spaulding,Lamborn,r,r,
Colorado 6,6:00 PM,Coffman,,D+2,Crow,Coffman,d,d,
Colorado 7,6:00 PM,Perlmutter,,D+6,Perlmutter,Barrington,d,d,
Connecticut 1,5:00 PM,Larson,August 14,D+12,,,d,d,
Connecticut 2,5:00 PM,Courtney,August 14,D+3,,,d,d,
Connecticut 3,5:00 PM,DeLauro,August 14,D+9,,,d,d,
Connecticut 4,5:00 PM,Himes,August 14,D+7,,,d,d,
Connecticut 5,5:00 PM,Esty (Open),August 14,D+2,,,d,d,
Delaware at Large,5:00 PM,Rochester,September 6,D+6,,,d,d,
Florida 1,5:00 PM,Gaetz,August 28,R+22,,,r,r,
Florida 2,5:00 PM,Dunn,August 28,R+18,,,r,r,
Florida 3,4:00 PM,Yoho,August 28,R+9,,,r,r,
Florida 4,4:00 PM,Rutherford,August 28,R+17,,,r,r,
Florida 5,4:00 PM,Lawson,August 28,D+12,,,d,d,
Florida 6,4:00 PM,DeSantis (Open),August 28,R+7,,,r,r,
Florida 7,4:00 PM,Murphy,August 28,EVEN,,,d,d,
Florida 8,4:00 PM,Posey,August 28,R+11,,,r,r,
Florida 9,4:00 PM,Soto,August 28,D+5,,,d,d,
Florida 10,4:00 PM,Demings,August 28,D+11,,,d,d,
Florida 11,4:00 PM,Webster,August 28,R+15,,,r,r,
Florida 12,4:00 PM,Bilirakis,August 28,R+8,,,r,r,
Florida 13,4:00 PM,Crist,August 28,D+2,,,d,d,
Florida 14,4:00 PM,Castor,August 28,D+7,,,d,d,
Florida 15,4:00 PM,Ross (Open),August 28,R+6,,,r,r,
Florida 16,4:00 PM,Buchanan,August 28,R+7,,,r,r,
Florida 17,4:00 PM,T. Rooney (Open),August 28,R+13,,,r,r,
Florida 18,4:00 PM,Mast,August 28,R+5,,,d,r,
Florida 19,4:00 PM,F. Rooney,August 28,R+13,,,r,r,
Florida 20,4:00 PM,Hastings,August 28,D+31,,,d,d,
Florida 21,4:00 PM,Frankel,August 28,D+9,,,d,d,
Florida 22,4:00 PM,Deutch,August 28,D+6,,,d,d,
Florida 23,4:00 PM,Wasserman Schultz,August 28,D+11,,,d,d,
Florida 24,4:00 PM,Wilson,August 28,D+34,,,d,d,
Florida 25,4:00 PM,Díaz-Balart,August 28,R+4,,,r,r,
Florida 26,4:00 PM,Curbelo,August 28,D+6,,,d,d,
Florida 27,4:00 PM,Ros-Lehtinen (Open),August 28,D+5,,,d,d,
Georgia 1,4:00 PM,Carter,,R+9,Ring,Carter,r,r,
Georgia 2,4:00 PM,Bishop,,D+6,Bishop,West,d,d,
Georgia 3,4:00 PM,Ferguson,,R+18,Enderlin,Ferguson,r,r,
Georgia 4,4:00 PM,Johnson,,D+24,Johnson,Profit,d,d,
Georgia 5,4:00 PM,Lewis,,D+34,Lewis,N/A,d,d,
Georgia 6,4:00 PM,Handel,July 24,R+8,Runoff,Handel,r,d,
Georgia 7,4:00 PM,Woodall,July 24,R+9,Runoff,Woodall,r,r,
Georgia 8,4:00 PM,Scott,,R+15,N/A,Scott,r,r,
Georgia 9,4:00 PM,Collins,,R+31,McCall,Collins,r,r,
Georgia 10,4:00 PM,Hice,,R+15,Johnson-Green,Hice,r,r,
Georgia 11,4:00 PM,Loudermilk,,R+17,Broady,Loudermilk,r,r,
Georgia 12,4:00 PM,Allen,,R+9,Johnson,Allen,r,r,
Georgia 13,4:00 PM,Scott,,D+20,Scott,Callahan,d,d,
Georgia 14,4:00 PM,Graves,,R+27,Foster,Graves,r,r,
Hawaii 1,8:00 PM,Hanabusa (Open),August 11,D+17,,,d,d,
Hawaii 2,8:00 PM,Gabbard,August 11,D+19,,,d,d,
Idaho 1,7:00 PM (8:00 PM),Labrador (Open),,R+21,McNeil,Fulcher,r,r,
Idaho 2,7:00 PM,Simpson,,R+17,Swisher,Simpson,r,r,
Illinois 1,5:00 PM,Rush,,D+27,Rush,Tillman,d,d,
Illinois 2,5:00 PM,Kelly,,D+29,Kelly,Merkle,d,d,
Illinois 3,5:00 PM,Lipinski,,D+6,Lipinski,Jones,d,d,
Illinois 4,5:00 PM,Gutiérrez (Open),,D+33,Garcia,Lorch,d,d,
Illinois 5,5:00 PM,Quigley,,D+20,Quigley,Hanson,d,d,
Illinois 6,5:00 PM,Roskam,,R+2,Casten,Roskam,d,d,
Illinois 7,5:00 PM,Davis,,D+38,Davis,Cameron,d,d,
Illinois 8,5:00 PM,Krishnamoorthi,,D+8,Krishnamoorthi,Diganvker,d,d,
Illinois 9,5:00 PM,Schakowsky,,D+18,Schakowski,Elleson,d,d,
Illinois 10,5:00 PM,Schneider,,D+10,Schneider,Bennett,d,d,
Illinois 11,5:00 PM,Foster,,D+9,Foster,Stella,d,d,
Illinois 12,5:00 PM,Bost,,R+5,Kelly,Bost,r,r,
Illinois 13,5:00 PM,Davis,,R+3,Londrigan,Davis,r,d,
Illinois 14,5:00 PM,Hultgren,,R+5,Underwood,Hultgren,r,r,
Illinois 15,5:00 PM,Shimkus,,R+21,Gaither,Shimkus,r,r,
Illinois 16,5:00 PM,Kinzinger,,R+8,Dady,Kinzinger,r,r,
Illinois 17,5:00 PM,Bustos,,D+3,Bustos,Fawell,d,d,
Illinois 18,5:00 PM,LaHood,,R+15,Rodriguez,LaHood,r,r,
Indiana 1,4:00 PM,Visclosky,,D+8,Visclosky,Leyva,d,d,
Indiana 2,3:00 PM (4:00 PM),Walorski,,R+11,Hall,Walorski,r,r,
Indiana 3,3:00 PM,Banks,,R+18,Tritch,Banks,r,r,
Indiana 4,3:00 PM (4:00 PM),Rokita (Open),,R+17,Beck,Baird,r,r,
Indiana 5,3:00 PM,Brooks,,R+9,Thornton,Brooks,r,r,
Indiana 6,3:00 PM,Messer (Open),,R+18,Lake,Pence,r,r,
Indiana 7,3:00 PM,Carson,,D+11,Cartson,Harmon,d,d,
Indiana 8,3:00 PM (4:00 PM),Bucshon,,R+15,Tanoos,Bucshon,r,r,
Indiana 9,3:00 PM,Hollingsworth,,R+13,Watson,Hollingsworth,r,r,
Iowa 1,7:00 PM,Blum,,D+1,Finkenauer,Blum,d,d,
Iowa 2,7:00 PM,Loebsack,,D+1,Loebsack,Peters,d,d,
Iowa 3,7:00 PM,Young,,R+1,Axne,Young,r,d,
Iowa 4,7:00 PM,King,,R+11,Scholten,King,r,r,
Kansas 1,5:00 PM (6:00 PM),Marshall,August 7,R+24,,,r,r,
Kansas 2,5:00 PM,Jenkins (Open),August 7,R+10,,,r,r,
Kansas 3,5:00 PM,Yoder,August 7,R+4,,,d,r,
Kansas 4,5:00 PM,Estes,August 7,R+15,,,r,r,
Kentucky 1,4:00 PM (3:00 PM),Comer,,R+23,Walker,Comer,r,r,
Kentucky 2,4:00 PM (3:00 PM),Guthrie,,R+19,Linderman,Guthrie,r,r,
Kentucky 3,3:00 PM,Yarmuth,,D+6,Yarmuth,Glisson,d,d,
Kentucky 4,3:00 PM,Massie,,R+18,Hall,Massie,r,r,
Kentucky 5,3:00 PM,Rogers,,R+31,Stepp,Rogers,r,r,
Kentucky 6,3:00 PM,Barr,,R+9,McGrath,Barr,r,r,
Louisiana 1,6:00 PM,Scalise,November 6 (Dec. 8),R+24,,,r,r,
Louisiana 2,6:00 PM,Richmond,November 6 (Dec. 8),D+25,,,d,d,
Louisiana 3,6:00 PM,Higgins,November 6 (Dec. 8),R+20,,,r,r,
Louisiana 4,6:00 PM,Johnson,November 6 (Dec. 8),R+13,,,r,r,
Louisiana 5,6:00 PM,Abraham,November 6 (Dec. 8),R+15,,,r,r,
Louisiana 6,6:00 PM,Graves,November 6 (Dec. 8),R+19,,,r,r,
Maine 1,5:00 PM,Pingree,,D+8,Pingree,Holbrook,d,d,
Maine 2,5:00 PM,Poliquin,,R+2,Golden,Poliquin,r,d,
Maryland 1,5:00 PM,Harris,,R+14,Colvin,Harris,r,r,
Maryland 2,5:00 PM,Ruppersberger,,D+11,Ruppersberger,Matory,d,d,
Maryland 3,5:00 PM,Sarbanes,,D+13,Sarbanes,Anthony,d,d,
Maryland 4,5:00 PM,Brown,,D+28,Brown,McDermott,d,d,
Maryland 5,5:00 PM,Hoyer,,D+16,Hoyer,Devine,d,d,
Maryland 6,5:00 PM,Delaney (Open),,D+6,Trone,Hoeber,d,d,
Maryland 7,5:00 PM,Cummings,,D+26,Cummings,Davis,d,d,
Maryland 8,5:00 PM,Raskin,,D+14,Raskin,Walsh,d,d,
Massachusetts 1,5:00 PM,Neal,September 4,D+12,,,d,d,
Massachusetts 2,5:00 PM,McGovern,September 4,D+9,,,d,d,
Massachusetts 3,5:00 PM,Tsongas (Open),September 4,D+9,,,d,d,
Massachusetts 4,5:00 PM,Kennedy,September 4,D+9,,,d,d,
Massachusetts 5,5:00 PM,Clark,September 4,D+18,,,d,d,
Massachusetts 6,5:00 PM,Moulton,September 4,D+6,,,d,d,
Massachusetts 7,5:00 PM,Capuano,September 4,D+34,,,d,d,
Massachusetts 8,5:00 PM,Lynch,September 4,D+10,,,d,d,
Massachusetts 9,5:00 PM,Keating,September 4,D+4,,,d,d,
Michigan 1,5:00 PM (6:00 PM),Bergman,August 7,R+9,,,r,r,
Michigan 2,5:00 PM,Huizenga,August 7,R+9,,,r,r,
Michigan 3,5:00 PM,Amash,August 7,R+6,,,r,r,
Michigan 4,5:00 PM,Moolenaar,August 7,R+10,,,r,r,
Michigan 5,5:00 PM,Kildee,August 7,D+5,,,d,d,
Michigan 6,5:00 PM,Upton,August 7,R+4,,,r,r,
Michigan 7,5:00 PM,Walberg,August 7,R+7,,,r,r,
Michigan 8,5:00 PM,Bishop,August 7,R+4,,,d,r,
Michigan 9,5:00 PM,Levin (Open),August 7,D+4,,,d,d,
Michigan 10,5:00 PM,Mitchell,August 7,R+13,,,r,r,
Michigan 11,5:00 PM,Trott (Open),August 7,R+4,,,d,r,
Michigan 12,5:00 PM,Dingell,August 7,D+14,,,d,d,
Michigan 13,5:00 PM,Conyers (Open),August 7,D+32,,,d,d,
Michigan 14,5:00 PM,Lawrence,August 7,D+30,,,d,d,
Minnesota 1,6:00 PM,Walz (Open),August 14,R+5,,,d,r,
Minnesota 2,6:00 PM,Lewis,August 14,R+2,,,d,d,
Minnesota 3,6:00 PM,Paulsen,August 14,D+1,,,d,d,
Minnesota 4,6:00 PM,McCollum,August 14,D+14,,,d,d,
Minnesota 5,6:00 PM,Ellison,August 14,D+26,,,d,d,
Minnesota 6,6:00 PM,Emmer,August 14,R+12,,,r,r,
Minnesota 7,6:00 PM,Peterson,August 14,R+12,,,d,r,
Minnesota 8,6:00 PM,Nolan (Open),August 14,R+4,,,r,r,
Mississippi 1,5:00 PM,Kelly,,R+16,Wadkins,Kelly,r,r,
Mississippi 2,5:00 PM,Thompson,,D+14,Thompson,N/A,d,d,
Mississippi 3,5:00 PM,Harper (Open),,R+13,Evans,Guest,r,r,
Mississippi 4,5:00 PM,Palazzo,,R+21,Anderson,Palazzo,r,r,
Missouri 1,5:00 PM,Clay,August 7,D+29,,,d,d,
Missouri 2,5:00 PM,Wagner,August 7,R+8,,,r,r,
Missouri 3,5:00 PM,Luetkemeyer,August 7,R+18,,,r,r,
Missouri 4,5:00 PM,Hartzler,August 7,R+17,,,r,r,
Missouri 5,5:00 PM,Cleaver,August 7,D+7,,,d,d,
Missouri 6,5:00 PM,Graves,August 7,R+16,,,r,r,
Missouri 7,5:00 PM,Long,August 7,R+23,,,r,r,
Missouri 8,5:00 PM,Smith,August 7,R+24,,,r,r,
Montana at Large,7:00 PM,Gianforte,,R+11,Williams,Gianforte,r,d,
Nebraska 1,6:00 PM,Fortenberry,,R+11,McClure,Fortenberry,r,r,
Nebraska 2,6:00 PM,Bacon,,R+4,Eastman,Bacon,d,r,
Nebraska 3,6:00 PM,Smith,,R+27,Theobald,Smith,r,r,
Nevada 1,7:00 PM,Titus,,D+15,Titus,Bentley,d,d,
Nevada 2,7:00 PM,Amodei,,R+7,Koble,Amodei,r,r,
Nevada 3,7:00 PM,Rosen (Open),,R+2,Lee,Tarkanian,d,d,
Nevada 4,7:00 PM,Kihuen (Open),,D+3,Horsford,Hardy,d,d,
New Hampshire 1,5:00 PM,Shea-Porter,September 11,R+2,,,d,r,
New Hampshire 2,5:00 PM,Kuster,September 11,D+2,,,d,d,
New Jersey 1,5:00 PM,Norcross,,D+13,Norcross,Dilks,d,d,
New Jersey 2,5:00 PM,LoBiondo (Open),,R+1,Van Drew,Grossman,d,d,
New Jersey 3,5:00 PM,MacArthur,,R+2,Kim,MacArthur,r,d,
New Jersey 4,5:00 PM,Smith,,R+8,Welle,Smith,r,r,
New Jersey 5,5:00 PM,Gottheimer,,R+3,Gottheimer,McCann,d,r,
New Jersey 6,5:00 PM,Pallone,,D+9,Pallone,Pezzullo,d,d,
New Jersey 7,5:00 PM,Lance,,R+3,Malinowski,Lance,d,d,
New Jersey 8,5:00 PM,Sires,,D+27,Sires,Muniz,d,d,
New Jersey 9,5:00 PM,Pascrell,,D+16,Pascrell,Fisher,d,d,
New Jersey 10,5:00 PM,Payne,,D+36,Payne,Khan,d,d,
New Jersey 11,5:00 PM,Frelinghuysen (Open),,R+3,Sherrill,Webber,d,d,
New Jersey 12,5:00 PM,Coleman,,D+16,Coleman,Kipnis,d,d,
New Mexico 1,6:00 PM,Luján Grisham (Open),,D+7,Haaland,Arnold-Jones,d,d,
New Mexico 2,6:00 PM,Pearce (Open),,R+6,Torres Small,Herrell,r,r,
New Mexico 3,6:00 PM,Ray Luján,,D+8,Luján,McFall,d,d,
New York 1,6:00 PM,Zeldin,,R+5,Gershon,Zeldin,r,r,
New York 2,6:00 PM,King,,R+3,Shirley,King,r,d,
New York 3,6:00 PM,Suozzi,,D+1,Suozzi,DeBono,d,d,
New York 4,6:00 PM,Rice,,D+4,Rice,Benno,d,d,
New York 5,6:00 PM,Meeks,,D+37,Meeks,N/A,d,d,
New York 6,6:00 PM,Meng,,D+16,Meng,Hillgardner (Green),d,d,
New York 7,6:00 PM,Velázquez,,D+38,Velázquez,Lieberman (Conservative),d,d,
New York 8,6:00 PM,Jeffries,,D+36,Jeffries,Johnson (Conservative),d,d,
New York 9,6:00 PM,Clark,,D+34,Clarke,Gayot,d,d,
New York 10,6:00 PM,Nadler,,D+26,Nadler,Levin,d,d,
New York 11,6:00 PM,Donovan,,R+3,Rose,Donovan,r,d,
New York 12,6:00 PM,C. Maloney,,D+31,Maloney,Rabin,d,d,
New York 13,6:00 PM,Espaillat,,D+43,Espaillat,Butler,d,d,
New York 14,6:00 PM,Crowley (Open--Primaried),,D+29,Ocasio-Cortez,Pappas,d,d,
New York 15,6:00 PM,Serrano,,D+44,Serrano,Gonzalez,d,d,
New York 16,6:00 PM,Engel,,D+24,Engel,N/A,d,d,
New York 17,6:00 PM,Lowey,,D+7,Lowey,Ciardullo (Reform),d,d,
New York 18,6:00 PM,S. Maloney,,R+1,Maloney,O'Donnell,d,d,
New York 19,6:00 PM,Faso,,R+2,Delgado,Faso,d,d,
New York 20,6:00 PM,Tonko,,D+7,Tonko,Vitollo,d,d,
New York 21,6:00 PM,Stefanik,,R+4,Cobb,Stefanik,r,d,
New York 22,6:00 PM,Tenney,,R+6,Brindisi,Tenney,d,r,
New York 23,6:00 PM,Reed,,R+6,della Pia or Mitrano,Reed,r,r,
New York 24,6:00 PM,Katko,,D+3,Balter,Katko,r,d,
New York 25,6:00 PM,Slaughter (Open),,D+8,Morelle,Maxwell,d,d,
New York 26,6:00 PM,Higgins,,D+11,Higgins,Zeno,d,d,
New York 27,6:00 PM,Collins,,R+11,McMurray,Collins,r,r,
North Carolina 1,4:30 PM,Butterfield,,D+17,Butterfield,Allison,d,d,
North Carolina 2,4:30 PM,Holding,,R+7,Coleman,Holding,r,r,
North Carolina 3,4:30 PM,Jones,,R+12,N/A,Jones,r,r,
North Carolina 4,4:30 PM,Price,,D+17,Price,Loor,r,d,
North Carolina 5,4:30 PM,Foxx,,R+10,Adams,Foxx,r,r,
North Carolina 6,4:30 PM,Walker,,R+9,Watts,Walker,r,r,
North Carolina 7,4:30 PM,Rouzer,,R+9,Horton,Rouzer,r,r,
North Carolina 8,4:30 PM,Hudson,,R+8,McNeill,Hudson,r,r,
North Carolina 9,4:30 PM,Pittenger (Open--Primaried),,R+8,McCready,Harris,r,r,
North Carolina 10,4:30 PM,McHenry,,R+12,Brown,McHenry,r,r,
North Carolina 11,4:30 PM,Meadows,,R+14,Price,Meadows,r,r,
North Carolina 12,4:30 PM,Adams,,D+18,Adams,Wright,d,d,
North Carolina 13,4:30 PM,Budd,,R+6,Manning,Budd,r,r,
North Dakota at Large,6:00 PM (7:00 PM),Cramer (Open),,R+16,Schneider,Armstrong,r,r,
Ohio 1,4:30 PM,Chabot,,R+5,Pureval,Chabot,r,r,
Ohio 2,4:30 PM,Wenstrup,,R+9,Schiller,Wenstrup,r,r,
Ohio 3,4:30 PM,Beatty,,D+19,Beatty,Burgess,d,d,
Ohio 4,4:30 PM,Jordan,,R+14,Garrett,Jordan,r,r,
Ohio 5,4:30 PM,Latta,,R+11,Galbraith,JLatta,r,r,
Ohio 6,4:30 PM,Johnson,,R+16,Roberts,Johnson,r,r,
Ohio 7,4:30 PM,Gibbs,,R+12,Harbaugh,Gibbs,r,r,
Ohio 8,4:30 PM,Davidson,,R+17,Enoch,Davidson,r,r,
Ohio 9,4:30 PM,Kaptur,,D+14,Kaptur,Kraus,d,d,
Ohio 10,4:30 PM,Turner,,R+4,Gasper,Turner,r,d,
Ohio 11,4:30 PM,Fudge,,D+32,Fudge,Goldstein,d,d,
Ohio 12,4:30 PM,Tiberi (Open),,R+7,O'Connor,Balderson,r,r,
Ohio 13,4:30 PM,Ryan,,D+7,Ryan,DePizzo,d,d,
Ohio 14,4:30 PM,Joyce,,R+5,Rader,Joyce,r,r,
Ohio 15,4:30 PM,Stivers,,R+7,Neal,Stivers,r,r,
Ohio 16,4:30 PM,Renacci (Open),,R+8,Palmer,Gonzalez,r,r,
Oklahoma 1,5:00 PM,Bridenstine (Open),August 28,R+17,Runoff,Runoff,r,r,
Oklahoma 2,5:00 PM,Mullin,August 28,R+24,Runoff,Mullin,r,r,
Oklahoma 3,5:00 PM,Lucas,,R+27,Robbins,Lucas,r,r,
Oklahoma 4,5:00 PM,Coleman,August 28,R+20,Runoff,Cole,r,r,
Oklahoma 5,5:00 PM,Russell,August 28,R+10,Runoff,Russell,r,r,
Oregon 1,8:00 PM,Bonamici,,D+9,Bonamici,Verbeek,d,d,
Oregon 2,8:00 PM (7:00 PM),Walden,,R+11,McLeod-Skinner,Walden,r,r,
Oregon 3,8:00 PM,Blumenauer,,D+24,Blumenauer,Koller,d,d,
Oregon 4,8:00 PM,DeFazio,,EVEN,DeFazio,Robinson,d,d,
Oregon 5,8:00 PM,Schrader,,EVEN,Schrader,Callahan,d,d,
Pennsylvania 1 (New),5:00 PM,Fitzpatrick,,R+1,Wallace,Fitzpatrick,r,d,
Pennsylvania 2 (New),5:00 PM,Boyle,,D+25,Boyle,Torres,d,d,
Pennsylvania 3 (New),5:00 PM,Evans,,D+41,Evans,Leib,d,d,
Pennsylvania 4 (New),5:00 PM,Boyle (Open),,D+7,Dean,David,d,d,
Pennsylvania 5 (New),5:00 PM,Meehan (Open),,D+13,Scanlon,Kim,d,d,
Pennsylvania 6 (New),5:00 PM,Costello (Open),,D+2,Houlahan,McCauley,d,d,
Pennsylvania 7 (New),5:00 PM,Dent (Open),,D+1,Wild,Nothstein,d,d,
Pennsylvania 8 (New),5:00 PM,Cartwright,,R+1,Cartwright,Chrin,d,d,
Pennsylvania 9 (New),5:00 PM,Cartwright (Open),,R+14,Wolff,Meuser,r,r,
Pennsylvania 10 (New),5:00 PM,Perry,,R+6,Scott,Perry,r,d,
Pennsylvania 11 (New),5:00 PM,Smucker,,R+14,King,Smucker,r,r,
Pennsylvania 12 (New),5:00 PM,Marino,,R+17,Friedenberg,Marino,r,r,
Pennsylvania 13 (New),5:00 PM,Shuster (Open),,R+22,Ottaway,Joyce,r,r,
Pennsylvania 14 (New),5:00 PM,Lamb (Open),,R+14,Boerio,Reschenthaler,r,r,
Pennsylvania 15 (New),5:00 PM,Thompson,,R+20,Boser,Thompson,r,r,
Pennsylvania 16 (New),5:00 PM,Kelly,,R+8,DiNicola,Kelly,r,r,
Pennsylvania 17 (New),5:00 PM,Rothfus,,R+3,Lamb,Rothfus,d,d,
Pennsylvania 18 (New),5:00 PM,Doyle,,D+13,Doyle,N/A,d,d,
Rhode Island 1,5:00 PM,Cicilline,September 12,D+16,,,d,d,
Rhode Island 2,5:00 PM,Langevin,September 12,D+8,,,d,d,
South Carolina 1,4:00 PM,Sanford,,R+10,Cunningham,Arrington,r,r,
South Carolina 2,4:00 PM,Wilson,,R+12,Carrigan,Wilson,r,r,
South Carolina 3,4:00 PM,Duncan,,R+19,Geren,Duncan,r,r,
South Carolina 4,4:00 PM,Gowdy (Open),,R+15,Brown,Timmons,r,r,
South Carolina 5,4:00 PM,Norman,,R+9,Parnell,Norman,r,r,
South Carolina 6,4:00 PM,Clyburn,,D+19,Clyburn,Gressmann,d,d,
South Carolina 7,4:00 PM,Rice,,R+9,Williams,Rice,r,r,
South Dakota at Large,5:00 PM (6:00 PM),Noem (Open),,R+14,Bjorkman,Johnson,r,r,
Tennessee 1,5:00 PM,Roe,August 2,R+28,,,r,r,
Tennessee 2,5:00 PM,Duncan (Open),August 2,R+20,,,r,r,
Tennessee 3,5:00 PM,Fleischmann,August 2,R+18,,,r,r,
Tennessee 4,5:00 PM,DesJarlais,August 2,R+20,,,r,r,
Tennessee 5,5:00 PM,Cooper,August 2,D+7,,,d,d,
Tennessee 6,5:00 PM,Black (Open),August 2,R+24,,,r,r,
Tennessee 7,5:00 PM,Blackburn (Open),August 2,R+20,,,r,r,
